43.64 , 3d:6.07:5.24:-80.97 : 0:0:0 , 0:80.97 , 0:-5.24 , 0:-6.07 , 1:35.09 , 1:-15.69 , 1:-1.98 , 2:-9.81 , 2:-0.20 , 2:-0.20 ,
43.64 , 3d:6.13:5.24:-81.08 : 0:0:0 , 0:81.08 , 0:-5.24 , 0:-6.13 , 1:34.48 , 1:-16.10 , 1:-2.91 , 2:-9.81 , 2:-0.21 , 2:-0.21 ,
43.66 , 3d:6.41:5.18:-81.66 : 0:0:0 , 0:81.66 , 0:-5.18 , 0:-6.41 , 1:29.02 , 1:-12.88 , 1:-7.56 , 2:-9.40 , 2:-0.03 , 2:-0.03 ,
43.66 , 3d:6.45:5.16:-81.76 : 0:0:0 , 0:81.76 , 0:-5.16 , 0:-6.45 , 1:28.45 , 1:-10.59 , 1:-7.45 , 2:-9.22 , 2:-0.01 , 2:-0.01 ,
43.66 , 3d:6.48:5.14:-81.85 : 0:0:0 , 0:81.85 , 0:-5.14 , 0:-6.48 , 1:28.31 , 1:-7.46 , 1:-7.65 , 2:-9.09 , 2:-0.02 , 2:-0.02 ,
43.68 , 3d:6.52:5.06:-82.21 : 0:0:0 , 0:82.21 , 0:-5.06 , 0:-6.52 , 1:27.83 , 1:-0.21 , 1:-5.36 , 2:-9.25 , 2:-0.66 , 2:-0.66 ,
43.69 , 3d:6.55:5.04:-82.49 : 0:0:0 , 0:82.49 , 0:-5.04 , 0:-6.55 , 1:29.12 , 1:-4.08 , 1:-0.36 , 2:-9.87 , 2:-0.62 , 2:-0.62 ,
43.70 , 3d:6.66:5.08:-82.88 : 0:0:0 , 0:82.88 , 0:-5.08 , 0:-6.66 , 1:23.95 , 1:-10.04 , 1:2.28 , 2:-9.85 , 2:-0.13 , 2:-0.13 ,
43.73 , 3d:6.86:5.15:-83.39 : 0:0:0 , 0:83.39 , 0:-5.15 , 0:-6.86 , 1:8.50 , 1:-3.95 , 1:3.09 , 2:-9.59 , 2:0.09 , 2:0.09 ,
43.74 , 3d:6.92:5.20:-83.47 : 0:0:0 , 0:83.47 , 0:-5.20 , 0:-6.92 , 1:5.54 , 1:-7.79 , 1:4.17 , 2:-9.73 , 2:0.09 , 2:0.09 ,
43.76 , 3d:7.03:5.26:-83.53 : 0:0:0 , 0:83.53 , 0:-5.26 , 0:-7.03 , 1:3.38 , 1:-9.61 , 1:2.73 , 2:-9.38 , 2:0.08 , 2:0.08 ,
43.76 , 3d:7.07:5.27:-83.55 : 0:0:0 , 0:83.55 , 0:-5.27 , 0:-7.07 , 1:3.70 , 1:-8.08 , 1:2.32 , 2:-9.22 , 2:-0.02 , 2:-0.02 ,
43.77 , 3d:7.10:5.29:-83.57 : 0:0:0 , 0:83.57 , 0:-5.29 , 0:-7.10 , 1:4.19 , 1:-5.99 , 1:1.74 , 2:-9.22 , 2:-0.10 , 2:-0.10 ,
43.79 , 3d:7.17:5.26:-83.74 : 0:0:0 , 0:83.74 , 0:-5.26 , 0:-7.17 , 1:9.78 , 1:-4.80 , 1:-5.33 , 2:-9.69 , 2:-0.13 , 2:-0.13 ,
43.80 , 3d:7.19:5.24:-83.77 : 0:0:0 , 0:83.77 , 0:-5.24 , 0:-7.19 , 1:11.11 , 1:-6.45 , 1:-6.07 , 2:-9.72 , 2:-0.04 , 2:-0.04 ,
43.81 , 3d:7.26:5.18:-83.90 : 0:0:0 , 0:83.90 , 0:-5.18 , 0:-7.26 , 1:13.12 , 1:-6.27 , 1:-7.01 , 2:-9.61 , 2:0.02 , 2:0.02 ,
43.83 , 3d:7.30:5.04:-84.19 : 0:0:0 , 0:84.19 , 0:-5.04 , 0:-7.30 , 1:10.21 , 1:5.31 , 1:-5.51 , 2:-9.37 , 2:0.14 , 2:0.14 ,
43.83 , 3d:7.28:5.02:-84.21 : 0:0:0 , 0:84.21 , 0:-5.02 , 0:-7.28 , 1:9.41 , 1:6.80 , 1:-4.93 , 2:-9.33 , 2:0.05 , 2:0.05 ,
43.84 , 3d:7.25:4.99:-84.26 : 0:0:0 , 0:84.26 , 0:-4.99 , 0:-7.25 , 1:9.18 , 1:6.15 , 1:-4.18 , 2:-9.62 , 2:-0.19 , 2:-0.19 ,
43.85 , 3d:7.25:4.96:-84.43 : 0:0:0 , 0:84.43 , 0:-4.96 , 0:-7.25 , 1:12.31 , 1:-5.50 , 1:-1.28 , 2:-9.98 , 2:-0.04 , 2:-0.04 ,
43.86 , 3d:7.31:4.95:-84.53 : 0:0:0 , 0:84.53 , 0:-4.95 , 0:-7.31 , 1:9.80 , 1:-7.38 , 1:-1.22 , 2:-9.97 , 2:0.20 , 2:0.20 ,
43.86 , 3d:7.33:4.95:-84.56 : 0:0:0 , 0:84.56 , 0:-4.95 , 0:-7.33 , 1:8.04 , 1:-7.27 , 1:-1.42 , 2:-9.94 , 2:0.36 , 2:0.36 ,
43.87 , 3d:7.36:4.95:-84.58 : 0:0:0 , 0:84.58 , 0:-4.95 , 0:-7.36 , 1:6.02 , 1:-6.53 , 1:-1.40 , 2:-9.85 , 2:0.49 , 2:0.49 ,
43.89 , 3d:7.39:4.93:-84.57 : 0:0:0 , 0:84.57 , 0:-4.93 , 0:-7.39 , 1:-3.65 , 1:4.68 , 1:0.14 , 2:-9.39 , 2:0.45 , 2:0.45 ,
43.90 , 3d:7.30:4.95:-84.52 : 0:0:0 , 0:84.52 , 0:-4.95 , 0:-7.30 , 1:-2.98 , 1:7.99 , 1:4.98 , 2:-9.66 , 2:-0.29 , 2:-0.29 ,
43.91 , 3d:7.25:4.99:-84.50 : 0:0:0 , 0:84.50 , 0:-4.99 , 0:-7.25 , 1:-1.32 , 1:5.63 , 1:6.54 , 2:-9.80 , 2:-0.29 , 2:-0.29 ,
43.96 , 3d:7.39:5.22:-84.84 : 0:0:0 , 0:84.84 , 0:-5.22 , 0:-7.39 , 1:5.93 , 1:-0.54 , 1:-0.04 , 2:-9.49 , 2:0.16 , 2:0.16 ,
44.03 , 3d:7.18:4.55:-85.08 : 0:0:0 , 0:85.08 , 0:-4.55 , 0:-7.18 , 1:2.93 , 1:1.14 , 1:-8.82 , 2:-9.85 , 2:0.01 , 2:0.01 ,
